x,y,id
-3745,8408,Kuemmerle T.
-4278,8027,Alcántara C.
-4432,8264,Kussul N.
-3950,8508,Shchepashchenko M.
-4254,8445,Kutovaya O.
-4033,8320,Karminov V.
-4796,8934,Fritz S.
-13083,8873,Chervon S.V.
-12635,8562,Fomin I.V.
-13134,8331,Beesham A.
-13159,4728,Kolgotin A.
-12563,4733,Müller D.
-12585,4346,Chemyakin E.
-12854,5196,Romanov A.
-13013,4355,Alehnovich V.
-8069,-6057,Yadav D.
-8517,-5775,Tamamushi G.
-8313,-5925,Watanabe T.
-8595,-6087,Mitsushio J.
-8130,-5727,Tobah Y.
-8330,-6209,Sugawara K.
-10563,-16,Ninham B.W.
-11915,136,Balashov A.A.
-11483,-36,Gudkov S.V.
2003,2141,Mikhaylova M.
1796,2035,Bär J.
1962,2398,van Bommel B.
1553,2121,Schätzle P.
2196,1497,YuanXiang P.
2186,1992,Raman R.
1598,1863,Hradsky J.
1744,1667,Konietzny A.
1029,952,Loktionov E.Y.
2398,1669,Reddy P.P.
2448,1911,Lopez-Rojas J.
2393,2156,Spilker C.
1951,1541,Kobler O.
1729,2309,Raza S.A.
2153,1755,Stork O.
2206,2317,Hoogenraad C.C.
1935,1843,Kreutz M.R.
-8448,-4362,Ponomarev D.S.
-8993,-4258,Lavrukhin D.V.
-8683,-4151,Yachmenev A.E.
-8991,-4706,Khabibullin R.A.
-8746,-4503,Semenikhin I.E.
-9210,-4503,Vyurkov V.V.
-546,12540,Yuan S.
221,11936,Li Z.
-226,11890,Zhang C.
120,12385,Guskov A.
8746,7849,Machikhin A.
8072,7722,Batshev V.
8429,7326,Naumov A.
8138,7069,Gorevoy A.
-5869,-10910,Durmanov N.N.
-5396,-10807,Guliev R.R.
-5831,-10606,Eremenko A.V.
-5574,-10299,Boginskaya I.A.
-6065,-10442,Ryzhikov I.A.
-5261,-10589,Trifonova E.A.
-5318,-10341,Putlyaev E.V.
-5524,-10538,Mukhin A.N.
-5606,-10989,Kalnov S.L.
-5646,-10743,Balandina M.V.
-6053,-10715,Tkachuk A.P.
-5789,-10379,Gushchin V.A.
-4905,-10200,Sarychev A.K.
-5440,-10089,Lagarkov A.N.
-4964,-11045,Rodionov I.A.
-5955,-10191,Gabidullin A.R.
-5716,-10069,Kurochkin I.N.
-1454,12783,Gouskov A.
-1057,12968,Nikolaev S.
-1069,12586,Kuts V.
-1077,12192,Nizametdinov F.
-1455,12364,Korovaitseva E.
7768,3707,Vagapov A.B.
7700,4108,Sharapov N.A.
8060,4262,Vanin A.F.
5278,4801,GAN T.
4972,5076,YU Z.-Q.
5637,5006,ZHAO Y.-X.
5149,5450,EVSYUKOV S.A.
5560,5413,LAI X.-M.
-108,-14124,Temis M.
-307,-14653,Lazarev A.
3232,5032,Bondarenko A.L.
2750,5632,Kochiev D.G.
3192,5507,Sharikov A.N.
2879,5200,Shcherbakov I.A.
-777,-4985,Korostelin Y.U.V.
-647,-4425,Podmar’Kov Y.U.P.
-446,-4762,Skasyrsky Y.A.K.
7144,-5120,Il'In N.
7814,-5106,Shpagina E.
7474,-4775,Uskov F.
7484,-5450,Lychkovskiy O.
3152,13474,Zhao J.
3355,12959,Yue P.
2692,13798,Grekhov L.
2793,12831,Ma X.
-27,8429,Luss A.L.
533,8755,Kulikov P.P.
537,8469,Romme S.B.
224,8176,Andersen C.L.
817,8442,Pennisi C.P.
256,8458,Docea A.O.
249,8740,Kuskov A.N.
212,9023,Velonia K.
558,8183,Mezhuev Y.O.
545,9037,Shtilman M.I.
-33,8757,Tsatsakis A.M.
813,8778,Gurevich L.
18095,9060,Adamczewski-Musch J.
18192,9552,Akishin P.
20304,8005,Becker K.-H.
18807,10282,Belogurov S.
18504,8174,Bendarouach J.
18871,7890,Boldyreva N.
18960,9397,Deveaux C.
19305,9601,Dobyrn V.
18711,9713,Dürr M.
19267,10437,Eschke J.
20016,9144,Förtsch J.
20693,8461,Heep J.
19447,8135,Höhne C.
20261,8443,Kampert K.-H.
19070,9940,Kochenda L.
18218,8544,Kopfer J.
19483,10049,Kravtsov P.
19063,8287,Kres I.
19834,7801,Lebedev S.
20113,9581,Lebedeva E.
18504,8878,Leonova E.
19663,9306,Linev S.
20809,8965,Mahmoud T.
19954,8727,Michel J.
18756,8549,Miftakhov N.
19326,7732,Niebur W.
20411,9292,Ovcharenko E.
20501,9825,Patel V.
19196,8697,Pauly C.
20377,8863,Pfeifer D.
19285,9151,Querchfeld S.
19952,9989,Rautenberg J.
19776,10423,Reinecke S.
19599,8912,Riabov Y.
19555,8522,Roshchin E.
20290,10228,Samsonov V.
19700,9681,Schetinin V.
18912,8978,Tarasenkova O.
20794,9474,Traxler M.
18548,9294,Ugur C.
18410,9997,Vznuzdaev E.
19879,8250,Vznuzdaev M.
-9153,13748,Lednev V.N.
-8721,13213,Sdvizhenskii P.A.
-8246,13253,Grishin M.Y.A.
-8142,12909,Cheverikin V.V.
-7916,13220,Stavertiy A.Y.A.
-8701,12652,Tretyakov R.S.
-8084,13572,Taksanc M.V.
-8622,13761,Pershin S.M.
-8435,1069,Ovcharov P.V.
-7291,-124,Koshelev K.I.
-7791,-358,Zotov A.K.
-5923,-1417,Shelestov D.A.
-6846,-270,Tolstoguzov V.L.
-4379,-11121,Melentiev P.
-3761,-11468,Kalmykov A.
-4325,-11894,Gritchenko A.
-4269,-11376,Afanasiev A.
-3856,-11208,Balykin V.
-4153,-11650,Baburin A.S.
-4020,-11435,Ryzhova E.
-4569,-11802,Filippov I.
-4111,-11157,Nechepurenko I.A.
-3870,-11709,Dorofeenko A.V.
-4101,-10723,Ryzhikov I.
-4537,-11325,Vinogradov A.P.
-4665,-11549,Zyablovsky A.A.
-4397,-11595,Andrianov E.S.
-4063,-11896,Lisyansky A.A.
12363,-5728,Kirillov A.A.
12208,-6244,Savelova E.P.
1959,10444,Nerovny N.A.
2492,10307,Grigorjev A.S.
2115,9926,Lapina I.E.
-7877,684,Couëdel L.
-8178,774,Lipaev A.M.
-8391,601,Naumkin V.N.
-8127,495,Kislov A.Yu.
-8005,970,Vorob'Ev E.V.
-8361,1797,Morfill G.E.
4368,10340,Kiriliuk E.V.
4031,10762,Zaborsky S.A.
8120,-1698,Sedyakina N.E.
8312,-1409,Zakharov A.N.
8523,-2148,Krivoshchepov A.F.
8824,-1972,Pribytkova A.P.
8655,-1375,Bogdanova Y.A.
8886,-1631,Feldman N.B.
8504,-1752,Lutsenko S.V.
8201,-2033,Avramenko G.V.
-3135,9038,Fuss S.
-3127,9387,Lunnan A.
-3435,9668,Kindermann G.
-3401,9362,Aoki K.
-4885,-2360,Negin M.A.
-4796,-2628,Denisov L.K.
-4672,-2165,Davydov V.A.
-9257,12694,Filippov M.N.
-9721,13439,Grishin M.Y.
-9106,12966,Filichkina V.A.
-9730,12847,Stavertiy A.Y.
-9233,13289,Bunkin A.F.
6582,-12019,Odinokov S.
6124,-12189,Zlokazov E.
6378,-11597,Donchenko S.
5927,-11755,Verenikin N.
3063,-5949,Nerovny N.
2978,-6421,Zimin V.
3438,-6510,Fedorchuk S.
3528,-6038,Golubev E.
6650,-1116,Leontiev A.I.
5867,-3018,Kiselev N.A.
6736,-2128,Vinogradov Y.A.
6564,-2615,Strongin M.M.
6250,-1988,Zditovets A.G.
