x,y,id
24142,-19946,Klimov E.A.
23511,-19910,Khabibullin R.A.
18235,-21381,Ponomarev D.S.
22661,-20321,Maltsev P.P.
6444,-21712,Kryuchkov N.P.
7200,-24228,Ivlev A.V.
43525,39222,Mikhailov V.P.
44415,39253,Selivanenko A.S.
45257,39345,Bazinenkov A.M.
-51575,-66404,Kurikhina T.V.
2048,20001,Zhidkov M.A.
-12,19652,Devisilov V.A.
3776,20768,Zhidkov D.A.
1638,20010,Kirikova O.V.
1848,19616,Spiridonov V.S.
22313,-34657,Kiktenko E.O.
21319,-34703,Strakhov A.A.
21297,-35351,Man'Ko V.I.
62967,38635,Sharapov V.M.
62335,38197,Krivitsky S.E.
63251,37713,Serushkin S.V.
62769,38356,Zalavutdinov R.K.
63396,37083,Kulikauskas V.S.
64385,36561,Didyk A.Y.
64516,37070,Bekhterev V.A.
63954,36797,Nikulin V.Y.
64101,37477,Silin P.V.
63978,37175,Belous W.
64220,36986,Wasjak Y.
64396,37377,Hajewska E.
-44271,-77680,Alabin A.N.
-44246,-77281,Matveeva I.A.
-8512,-25796,Chumankin E.A.
-60487,29196,Pesterev A.V.
-60003,29130,Rapoport L.B.
-60462,28069,Tkachev S.B.
-8992,-12129,Skripkin A.V.
-7632,27772,Nifant'ev E.E.
-7319,26384,Slitikov P.V.
-8869,28828,Rasadkina E.N.
-24382,31497,Reznik S.V.
-25895,34672,Prosuntsov P.V.
-24109,34932,Azarov A.V.
76587,29059,Sidnyaev N.I.
75916,28277,Il’ina Y.S.
-71503,157,Murashov M.V.
-70865,680,Panin S.D.
-69159,94207,Proletarskii A.V.
24406,-29976,Shelestov D.
27047,-30651,Lazarev V.
25325,-30289,Karasik V.
25572,-29443,Koshelev K.
26309,-30148,Pnev A.
26028,-31174,Grudinin A.
-19521,23138,Shablygin M.V.
-23197,20767,Guzeva T.A.
-27474,-41524,Mezhuev Ya.O.
-27983,-41394,Artyukhov A.A.
-27810,-40603,Piskareva A.I.
-27581,-40980,Shtil'Man M.I.
-27475,-40582,Gol'Din M.M.
-27231,-41101,Korshak Yu.V.
-27940,-40906,Solov'Eva I.V.
-27199,-40771,Evseev A.K.
-2073,15492,Boldyrev V.S.
-2448,18995,Sinkevich V.V.
53517,-18322,Bozhich A.S.
-24389,7543,Gul’tsova M.E.
-26752,7489,Popov I.A.
-26025,32366,Mikhailovskii K.V.
22158,-25552,Piskunov T.S.
20459,-26236,Zhivotovskii I.V.
-49469,16974,Kazakov L.N.
-49671,17634,Khodunin A.V.
-12838,10375,Bochkarev S.V.
-12809,12567,Ovsyannikov M.V.
-12387,11816,Petrochenkov A.B.
-13071,11815,Bukhanov S.A.
-51300,-39046,Kamenskaya N.I.
-57286,-34247,Semenov M.Y.
-58018,-36291,Smirnov A.E.
-57739,-33210,Fakhurtdinov R.S.
-56018,-35119,Ospennikova O.G.
-57111,-35054,Gromov V.I.
10042,25412,Voronov V.A.
9169,25722,Leonov V.P.
52314,48118,Chirkov A.Y.
-60490,48204,Filinovskiy A.V.
-68193,-22968,Vostrikov V.M.
-67445,-22634,Artyukhova O.A.
-68350,-22228,Kholmova M.A.
-67507,-21263,Samorodov A.V.
-68739,-22628,Uranova N.A.
51915,-33203,Vasilets V.N.
51401,-32904,Shekhter A.B.
52209,-32868,Guller A.E.
51878,-32230,Pekshev A.V.
16652,-29081,Grebenyukov V.V.
16085,-28762,Pozharov A.S.
17847,-26329,Obraztsova E.D.
13756,-28767,Dianov E.M.
-93121,48928,Kobylkin I.F.
6161,28300,Arkharov I.A.
4877,28110,Nagimov R.R.
4869,26538,Navasardyan E.S.
5243,27623,Koveshnikov A.N.
12753,32997,Bondarenko V.L.
13520,34802,Korzh E.G.
13092,34270,D’Yachenko T.V.
13481,34104,D’Yachenko O.V.
16974,35692,Kazakova A.A.
15871,36187,Nikiforov Y.V.
17152,36315,Zuev B.K.
-87637,9865,Kauffman L.H.
3151,-36015,Stakhanov M.L.
3824,-36842,Zmievskoy G.N.
3146,-36838,Semchuk I.P.
2500,-34745,Filatov V.V.
6801,-20627,Khrapak S.A.
4655,-21913,Thomas H.M.
-24362,6575,Kornev N.V.
-25619,5423,Hassel E.
-24097,6838,Chudnovskii Y.P.
6023,-17352,Onufriev A.V.
6206,-16809,Dmitriev S.N.
6234,-19541,Aliev I.N.
5460,-16971,Onufriev V.V.
-23841,80619,Dvorkovich V.P.
-22874,80903,Dvorkovich A.V.
-52230,85654,Pavlov I.V.
-33195,-84117,Sadykhov G.S.
-34162,-84396,Babaev I.A.
36656,6542,Grekhov L.V.
35714,6906,Dragan Y.E.
35672,7365,Denisov A.A.
36127,7218,Starkov E.E.
3681,-22329,Zhdanov S.
3668,-21809,Schwabe M.
3030,-22242,Räth C.
5437,-22891,Morfill G.E.
8676,-26112,Komarov K.A.
3477,-26305,Gorelik V.S.
6709,-23261,Moiseenko V.N.
20929,-34736,Man'Ko O.V.
3673,-23109,Zhdanov S.K.
6386,-22950,Couëdel L.
4331,-23114,Nosenko V.
-27827,-41948,Morgacheva A.A.
-27907,-42318,Panov A.V.
-28224,-41978,Gordienko M.G.
-27476,-42146,Shtil'man M.I.
21361,-18325,Aleshkin V.Ya.
21865,-18819,Dubinov A.A.
22099,-17638,Svintsov D.
21912,-20103,Aleshkin Y.
79928,5727,Labunets L.V.
-11629,-24540,Kulaev Y.V.
-11915,-24952,Kurbatov P.A.
-11979,-24600,Kurbatova E.P.
-11618,-25157,Maevskii V.A.
-12577,-25630,Nizhel’skii N.A.
-11445,-24845,Sysoev M.A.
-47965,16460,Korchagin Y.E.
-3742,10695,Zarubin V.S.
-3874,4908,Kuvyrkin G.N.
-2899,7828,Savelyeva I.Y.
5624,-1953,Bigus G.A.
4840,-3132,Travkin A.A.
22281,-33781,Man'ko O.V.
22573,-33535,Man'ko V.I.
-97283,32771,Deryabina G.
-96925,33911,Krasilnikov A.
-61684,-32118,Polyakov S.A.
-61465,-30960,Goncharov S.Y.
-62519,-30588,Lychagin V.V.
-25615,-11111,Zakharov V.Y.
-25697,-11653,Chernova T.G.
