x,y,id
19504,-16622,Chirkin A.V.
-14220,4216,Proletarskii A.V.
-6125,-25833,Konopel’ko N.A.
-6377,-26913,Titarev V.A.
-7699,-26715,Shakhov E.M.
1415,6502,Vladimirov I.Y.
2242,4312,Korchagin N.N.
-27169,-16539,Chernega V.N.
-27849,-15422,Man’ko O.V.
-26109,-15198,Man’ko V.I.
19003,10163,Voronov S.A.
18746,9450,Ivanov I.I.
18335,9737,Kiselev I.A.
-12348,-4980,Gerasimov S.A.
-11003,-6610,Kuksenova L.I.
-11898,-5195,Lapteva V.G.
-11465,-4709,Fakhurtdinov R.S.
-12139,-4438,Danilov V.D.
-12372,-5616,Smirnov A.E.
-13119,-3094,Gromov V.I.
-12606,-4574,Alekseeva M.S.
-12776,-5063,Shcherbakov Y.I.
-12015,-4797,Khrennikova I.A.
1505,10186,Kudrin K.G.
1584,10644,Reshetov I.V.
-21731,4532,Emdadi A.A.
-21364,3964,Cifre J.
-21837,4064,Dementeva O.Y.
-21261,4429,Golovin I.S.
10977,15291,Shishov V.V.
11306,15707,Talyzin M.S.
-4434,-3944,Sidnyaev N.I.
-4385,-3220,Gordeeva N.M.
-12933,30357,Savel′eva I.Y.
6966,21234,Danilenko B.D.
22597,21063,Malyshev K.V.
-12196,-16583,Kalinkin A.V.
-12482,-17026,Mastikhin A.V.
13942,-16268,Kurikhina T.V.
-21811,15425,Dimitrienko Y.
-22588,15548,Koryakov M.
-22317,14801,Zakharov A.
-4263,12203,Kolyuchkin V.V.
-3882,12616,Talalaev V.Y.
-4070,12910,Tsyganov I.K.
-13088,-21846,Kronenberg R.
-12485,-22272,Bernhofer C.
-995,16736,Makirov S.K.
-752,16141,Yuz A.A.
-571,16604,Jahaf M.T.
-1172,16310,Nikulina A.A.
-2705,2335,Smorodin A.I.
-3001,2100,Red’Kin V.V.
-2539,1598,Frolov Y.D.
-2321,2236,Korobkov A.A.
-2255,1869,Kemaev O.V.
-2902,1723,Kulik M.V.
-2620,1976,Shabalin O.V.
25125,-5903,Goryainov V.B.
24141,-5711,Goryainova E.R.
-3967,14434,Betin A.Yu.
-3469,15032,Verenikina N.M.
-3127,15639,Donchenko S.S.
-4767,15045,Zlokazov E.Yu.
-9633,-18534,Bazlova T.A.
-9872,-17863,Alekseeva E.V.
-25960,-3775,Rudakov I.A.
-1299,27243,Kochikov I.V.
-754,26246,Novgorodskaya A.V.
-728,26635,Sologub A.A.
-1369,26370,Fufurin I.L.
10653,-14039,Kuznetsov A.P.
9993,-13437,Utenkov V.M.
10561,-13089,Shirshov A.G.
19234,-3966,Pelevin F.V.
18669,-3240,Yaroslavtsev N.L.
19052,-3399,Vikulin A.V.
18747,-4251,Orlin S.A.
18502,-3676,Ponomarev A.V.
-15333,16768,Shirokov D.
17539,13353,Gorskii V.V.
17915,12735,Zolotarev S.L.
17417,12616,Olenicheva A.A.
-5352,-8987,Emelianov A.
-5510,-9758,Eremin A.
-5516,-8521,Gurentsov E.
-6485,-9326,Mikheyeva E.
-5951,-8693,Yurischev M.
9298,-18355,Bozhenkova R.K.
8737,-18999,Bozhenkova N.A.
8834,-17603,Atanova D.V.
-6577,-15739,Nosko O.
-6559,-16139,Nagamine T.
-5953,-16587,Nosko A.L.
-5910,-15755,Romashko A.M.
-6237,-15539,Mori H.
-6198,-16002,Sato Y.
-19005,6512,Kolpakov V.I.
-19321,5621,Savenkov G.G.
-18760,5713,Mazur A.S.
-19517,6186,Rudometkin K.A.
8705,2975,Patrikeeva N.V.
9151,2814,Babeshko V.N.
8950,2442,Kamenev E.A.
8491,2585,Podolskiy V.E.
8959,-257,Kaplunov S.M.
8517,-191,Val’Es N.G.
8401,-643,Samolysov A.V.
8849,-718,Marchevskaya O.A.
-16493,-9719,Shargatov V.A.
-16288,-8988,Il'Ichev A.T.
-16878,-9046,Tsypkin G.G.
28434,-1103,Matvienko Y.G.
27712,-594,Razumovsky I.A.
3951,-7774,Razevig V.
4403,-6973,Vasiliev I.
3992,-7162,Bechtel T.
4447,-7473,Capineri L.
8230,-18116,Mirzaeva T.E.
-7727,9528,Zayarnyi D.A.
-8440,10555,Ionin A.A.
-8290,9522,Kudryashov S.I.
-7928,9877,Makarov S.V.
-8594,9998,Rudenko A.A.
-7179,9715,Drozdova E.A.
775,7649,Tarabrin M.K.
1150,7307,Kovtun A.A.
2220,7074,Kireev A.N.
450,6747,Kozlovsky V.I.
785,7171,Korostelin Y.V.
1231,7814,Podmar'Kov Y.P.
841,6404,Frolov M.P.
1887,7583,Gubin M.A.
-1560,21649,Rusanov A.
-1317,22073,Nevshupa R.
-1139,21432,Fontaine J.
-499,21734,Martin J.-M.
-975,21133,Le Mogne T.
-701,21332,Elinson V.
-946,21667,Lyamin A.
-828,22139,Roman E.
-1411,21187,Garrido M.Á.
-6300,13017,Leiman V.G.
-22495,-3293,Chernyak V.
-5776,-5687,Arapov Y.D.
-5723,-5328,Dyakov V.A.
-6399,-4228,Grechin S.G.
-5406,-4816,Kasyanov I.V.
3355,-5629,Alekseev D.N.
3815,-5574,Marakhtanov M.K.
3474,-6078,Pil’nikov A.V.
3956,-5996,Sinyavskii V.V.
28798,5931,Starkov K.E.
11122,11268,Bunkin N.F.
11780,10209,Kozlov V.A.
10294,10947,Shkirin A.V.
10857,12282,Suyazov N.V.
18353,1595,Lurie S.
17854,1807,Belov P.
8216,9460,Kompaneets R.
7613,9231,Morfill G.
-12390,19203,Talis A.
-11936,19706,Kraposhin V.
-8052,10247,Danilov P.A.
-7868,10633,Yurovskikh V.I.
-7467,10603,Zayarny D.A.
-10023,14394,Satou A.
40715,46817,Vorontsov A.L.
16974,-17035,Smelyanskaya L.I.
-11306,14814,Vyurkov V.
20680,-16967,Kuralina N.N.
1796,17730,Bobrov A.V.
2567,17433,Sarbaev B.S.
2436,18125,Shirshov Y.Y.
-6861,-5049,Chao Z.W.
-6688,-5411,An Y.H.
-6202,-5065,Andreev Yu.M.
-6473,-5720,Lanskii G.V.
3598,10935,Katyba G.M.
1610,9800,Alekhnovich V.I.
2909,8401,Nosov P.A.
-24741,-14856,Kiktenko E.
-25253,-14130,Fedorov A.
8208,-13243,Samburov S.N.
8422,-13625,Zhdanovich O.V.
8060,-13893,Strashinsky V.A.
-6698,-25577,Aristov V.V.
-7127,-25617,Zabelok S.A.
12516,-18449,Eminyan K.M.
-3330,-3731,Burtsev S.A.
-5300,-2847,Nikolaev P.P.
-5717,-3617,Okhrimchuk A.G.
1048,15584,Morozov A.V.
